year,title,imdb_id,boxofficemojo_id,tmdb_id,qid,budget,box_office_start_date,box_office_end_date,box_office_gross
2007,Evening,tt0765447,rl642811393,6022,Q1091140,,2007-06-29,,12410000
2007,Fantastic Four - Silver Surfer,tt0486576,rl3679487489,1979,,,2007-06-15,,131600000
2007,Georgia Rule,tt0791304,rl3042215425,13159,Q772974,,2007-05-11,,18900000
2007,Hairspray,tt0427327,rl3428288001,2976,Q222041,,2007-07-20,,112420000
2007,Harry Potter and the Order of the Phoenix,tt0373889,,675,Q102235,,2007-07-13,,286830000
2007,Hostel: Part II,tt0498353,rl324568577,1691,Q1048645,,2007-06-08,,17500000
2007,Hot Rod,tt0787475,rl106464769,10074,Q1630741,,2007-08-03,,13780000
2007,I Now Pronounce You Chuck & Larry,tt0762107,rl2303428097,3563,Q832456,,2007-07-20,,116640000
2007,Knocked Up,tt0478311,rl4183590401,4964,Q222800,,2007-06-01,,148170000
2007,License to Wed,tt0762114,rl3160311297,2959,Q368674,,2007-07-04,,43350000
2007,Live Free or Die Hard,tt0337978,rl3025110529,1571,Q50861,,2007-06-27,,133610000
2007,Mr. Brooks,tt0780571,rl2506458625,3432,Q548906,,2007-06-01,,28480000
2007,Nancy Drew,tt0479500,rl2741274113,14043,Q1402883,,2007-06-15,,25580000
2007,No Reservations,tt0481141,rl2624030209,3638,Q761548,,2007-07-20,,40750000
2007,Ocean's Thirteen,tt0496806,rl442926593,298,Q635632,,2007-06-08,,117030000
2007,Once,tt0907657,rl1214678529,5723,,,,,8109999
2007,Pirates of the Caribbean: At World's End,tt0449088,rl4100490753,285,Q54274,,2007-05-24,,308680000
2007,Ratatouille,tt0382932,rl846038529,2062,Q170035,,2007-06-29,,201250000
2007,Rush Hour 3,tt0293564,rl560956929,5174,Q498109,,2007-08-10,,122700000
2007,Shrek the Third,tt0413267,rl40994305,810,Q486588,,2007-05-18,,320710000
2007,Sicko,tt0386032,rl1953596929,2359,Q382882,,2007-06-29,,24120000
2007,Spider-Man 3,tt0413300,rl913540609,559,Q182212,,2007-05-04,,336530000
2007,Stardust,tt0486655,rl1332971009,2270,Q244398,,,,32140000
2007,Superbad,tt0829482,rl2272429569,8363,Q679611,,2007-08-17,,92690000
2007,Surf's Up,tt0423294,rl3815933441,9408,Q633053,,2007-06-08,,58870000
2007,The Bourne Ultimatum,tt0440963,rl2504427009,2503,Q107226,,2007-08-03,,202810000
2007,The Invasion,tt0427392,rl2893645313,4858,Q652592,,2007-08-17,,14100000
2007,The Simpsons Movie,tt0462538,rl3195110913,35,Q182254,,2007-07-27,,178530000
2007,Transformers,tt0418279,rl3010954753,1858,Q171453,,2007-07-04,,310580000
2007,Underdog,tt0467110,rl2608236033,6589,Q1583966,,2007-08-03,,40000000
2007,Waitress,tt0473308,rl4084827649,10758,Q1380376,,2007-05-04,,18870000
2008,American Teen,tt0486259,rl2521007617,13259,Q4745224,,2008-07-25,,860000
2008,Death Race,tt0452608,rl4081878529,10483,Q1033191,,2008-08-22,,24740000
2008,Fly Me to the Moon 3D,tt0486321,rl391284225,13956,Q1434522,,2008-08-22,,6780000
2008,Get Smart,tt0425061,rl3914696193,11665,Q570652,,2008-06-20,,128460000
2008,Hancock,tt0448157,rl746030593,8960,Q220376,,2008-07-02,,227380000
2008,Hellboy II: The Golden Army,tt0411477,rl844727809,11253,Q651196,,2008-07-11,,75420000
2008,Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,rl2321253889,217,Q182373,,2008-05-23,,315840000
2008,Iron Man,tt0371746,rl1482327553,1726,Q192724,,2008-05-02,,317850000
2008,Journey to the Center of the Earth,tt0373051,rl1314752001,88751,,,2008-07-11,,95190000
2008,Kit Kittredge: An American Girl,tt0846308,rl2455537153,8359,Q1743831,,2008-07-02,,17470000
2008,Kung Fu Panda,tt0441773,rl3562833409,9502,Q129193,,2008-06-06,,213760000
2008,Made of Honor,tt0866439,rl1180730881,10761,Q463938,,2008-05-02,,45400000
2008,Mamma Mia!,tt0795421,rl3697313281,11631,Q188850,,2008-07-18,,132509999
2008,Meet Dave,tt0765476,rl3128133121,11260,Q838381,,2008-07-11,,11710000
2008,Pineapple Express,tt0910936,rl2489878017,10189,Q485610,,2008-08-08,,80830000
2008,Sex in the City,tt1000774,rl3211691521,4564,,,2008-05-30,,152530000
2008,Space Chimps,tt0482603,rl3765470721,11802,Q2558033,,2008-07-18,,28950000
2008,Speed Racer,tt0811080,rl947095041,7459,Q312078,,2008-05-09,,43930000
2008,Star Wars: The Clone Wars,tt1185834,rl508200449,12180,Q382289,,2008-08-15,,30670000
2008,Swing Vote,tt1027862,rl276137473,10187,Q11928,,2008-08-01,,15750000
2008,The Chronicles of Narnia: Prince Caspian,tt0499448,rl2640610817,2454,Q222023,,2008-05-16,,141610000
2008,The Dark Knight,tt0468569,rl3729098241,155,Q163872,,2008-07-18,,504800000
2008,The Foot Fist Way,tt0492619,rl1968342529,13484,Q3520940,,,,
2008,The Happening,tt0949731,rl257328641,8645,Q681092,,2008-06-13,,64489999
2008,The House Bunny,tt0852713,rl190547457,12620,Q466959,,2008-08-22,,29730000
2008,The Incredible Hulk,tt0800080,rl2791015937,1724,Q466611,,2008-06-13,,134520000
2008,The Longshots,tt1091751,rl979076609,13579,Q2621314,,2008-07-25,,8189999
2008,The Love Guru,tt0811138,rl3579938305,12177,Q656664,,2008-06-20,,32180000
2008,The Mummy: Tomb of the Dragon Emperor,tt0859163,rl3596977665,1735,Q240713,,2008-08-01,,98670000
2008,The Rocker,tt1031969,rl1315735041,10186,Q1755845,,2008-08-01,,5850000
2008,The Sisterhood of the Traveling Pants 2,tt1018785,rl2305918465,10188,Q16458,,2008-08-08,,41540000
2008,The Step Brothers,tt0838283,rl3983771137,12133,,,2008-07-25,,98240000
2008,The Strangers,tt0482606,rl259163649,10665,Q1259466,,2008-05-30,,52530000
2008,The X Files: I Want to Believe,tt0443701,rl1517979137,8836,Q421875,,2008-07-25,,20850000
2008,Tropic Thunder,tt0942385,rl3782706689,7446,Q380981,,2008-08-15,,86400000
2008,WALL·E,tt0910970,rl3615065601,10681,Q104905,,2008-06-27,,218450000
2008,Wanted,tt0493464,rl3329852929,8909,Q4444,,2008-06-27,,134020000
2008,What Happens in Vegas,tt1033643,rl4252534273,9029,Q675472,,2008-05-09,,80260000
2008,You Don't Mess with the Zohan,tt0960144,rl2457503233,10661,Q958417,,2008-06-06,,99890000
2009,500 Days of Summer,tt1022603,rl3913385473,19913,Q154935,,2009-07-17,,28450000
